Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2004 ,392999 ,POTATOES SWEET ,99 ,Stanislaus ,691 ,13.46 ,9300 ,442.04 ,TONS ,4111000
2004 ,392999 ,POTATOES SWEET ,991 ,Sum of Others ,80 ,3.14 ,251 ,539.29 ,TONS ,135362
2004 ,392999 ,POTATOES SWEET , 999, State Totals,10855 ,12.26 ,133080 ,626.90 ,    ,83428362
2004 ,699999 ,POULTRY UNSPECIFIED ,9 ,Calaveras ,  ,  ,  ,  ,  ,1657000
2004 ,699999 ,POULTRY UNSPECIFIED ,39 ,Madera ,  ,  ,  ,  ,  ,14099000
2004 ,699999 ,POULTRY UNSPECIFIED ,41 ,Marin ,  ,  ,  ,  ,  ,2236600
2004 ,699999 ,POULTRY UNSPECIFIED ,53 ,Monterey ,  ,  ,  ,  ,  ,30000
2004 ,699999 ,POULTRY UNSPECIFIED ,67 ,Sacramento ,  ,  ,  ,  ,  ,17549000
2004 ,699999 ,POULTRY UNSPECIFIED ,111 ,Ventura ,  ,  ,  ,  ,  ,92000
2004 ,699999 ,POULTRY UNSPECIFIED , 999, State Totals,0 ,  ,0 ,  ,    ,35663600
2004 ,366999 ,PUMPKINS ,67 ,Sacramento ,715 ,13.80 ,9867 ,236.95 ,TONS ,2338000
2004 ,366999 ,PUMPKINS ,71 ,San Bernardino ,30 ,12.00 ,360 ,222.22 ,TONS ,80000
2004 ,366999 ,PUMPKINS ,77 ,San Joaquin ,3120 ,14.20 ,44300 ,152.39 ,TON ,6751000
2004 ,366999 ,PUMPKINS ,81 ,San Mateo ,242 ,11.43 ,2766 ,202.10 ,TONS ,559000
2004 ,366999 ,PUMPKINS ,85 ,Santa Clara ,143 ,6.10 ,872 ,464.45 ,TON ,405000
2004 ,366999 ,PUMPKINS ,99 ,Stanislaus ,142 ,11.97 ,1700 ,158.82 ,TONS ,270000
2004 ,366999 ,PUMPKINS ,111 ,Ventura ,84 ,16.26 ,1366 ,187.41 ,TONS ,256000
