Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2006 ,268099 ,ALMOND HULLS ,7 ,Butte ,  ,  ,31463 ,80.00 ,TONS ,2517000
2006 ,268099 ,ALMOND HULLS ,11 ,Colusa ,  ,  ,33250 ,70.02 ,TONS ,2328000
2006 ,268099 ,ALMOND HULLS ,19 ,Fresno ,  ,  ,232000 ,96.00 ,TONS ,22272000
2006 ,268099 ,ALMOND HULLS ,21 ,Glenn ,  ,  ,22762 ,74.99 ,TONS ,1707000
2006 ,268099 ,ALMOND HULLS ,29 ,Kern ,  ,  ,253100 ,86.03 ,TONS ,21773000
2006 ,268099 ,ALMOND HULLS ,31 ,Kings ,  ,  ,5956 ,100.07 ,TONS ,596000
2006 ,268099 ,ALMOND HULLS ,39 ,Madera ,  ,  ,101471 ,95.00 ,TONS ,9640000
2006 ,268099 ,ALMOND HULLS ,47 ,Merced ,  ,  ,130598 ,95.11 ,TONS ,12421000
2006 ,268099 ,ALMOND HULLS ,77 ,San Joaquin ,  ,  ,73400 ,92.00 ,TONS ,6753000
2006 ,268099 ,ALMOND HULLS ,99 ,Stanislaus ,  ,  ,102000 ,92.00 ,TONS ,9384000
2006 ,268099 ,ALMOND HULLS ,101 ,Sutter ,  ,  ,580 ,75.00 ,TONS ,43500
2006 ,268099 ,ALMOND HULLS ,107 ,Tulare ,  ,  ,39100 ,99.00 ,TONS ,3871000
2006 ,268099 ,ALMOND HULLS ,115 ,Yuba ,  ,  ,1003 ,82.75 ,TONS ,83000
2006 ,268099 ,ALMOND HULLS ,991 ,Sum of Others ,  ,  ,81394 ,29.20 ,TONS ,2376410
2006 ,268099 ,ALMOND HULLS , 999, State Totals,0 ,  ,1108077 ,86.42 ,    ,95764910
2006 ,261999 ,ALMONDS ALL ,7 ,Butte ,38137 ,0.66 ,25170 ,4150.02 ,TONS ,104456000
2006 ,261999 ,ALMONDS ALL ,11 ,Colusa ,28600 ,0.93 ,26598 ,4200.02 ,TONS ,111712000
