SITE_ID,SJV_REGION,EQ_AREA_CELL,LAT_DD,LONG_DD,COUNTY,SAMPLE_DATE,TDS,TDS_TYPE,CONDUCTIVITY,CA,MG,NA,K,CL,SO4,NO3-N,SIO2,HCO3,WELL_DEPTH_M,DTW_M,DTW_SOURCE,DBWT_M,TRIT_DATE,TRIT_2016_TU,TRIT_CAT,PCT_AG,PCT_NAT,PCT_URB,TDS_ION_MOD
371107120232201,NESJV-D,18,37.185221,-120.39046,MERCED,4/6/2006,181,LAB,na,23.28,5.58,27.47,4.02,9,12.93,0.42,33.54,137.06,105.16,11.94,MODEL,93.22,4/6/2006,0,PreMod,na,na,na,ION
365936120062901,NESJV-D,23,36.99328,-120.109054,MADERA,4/15/2008,182,LAB,na,15.37,4.53,19.31,3.04,16.31,3.13,2.16,72.81,78.89,182.88,25.12,MODEL,157.76,4/15/2008,0.13,PreMod,na,na,na,ION
372900120490001,NESJV-D,10,37.486167,-120.821722,STANISLAUS,3/16/2006,183,LAB,na,22.06,6.35,21.87,3.01,7.08,6.06,3.04,46.27,125.59,76.81,2.74,MODEL,74.07,3/16/2006,0.975,Mod,na,na,na,ION
380207121145701,NESJV-D,4,38.035444,-121.249333,SAN JOAQUIN,7/11/2007,184,LAB,na,18.25,10.51,12.54,4.09,5.26,7.25,0.41,60.42,126.38,137.77,26.03,MEASURED,111.74,7/11/2007,0,PreMod,na,na,na,ION
374900120520001,NESJV-D,8,37.81872222,-120.8678056,STANISLAUS,2/14/2005,185,LAB,na,14.26,8.76,15.28,2.64,8.38,5.07,na,75.96,103.66,na,na,na,na,2/14/2005,0.544,Mod,na,na,na,ION
374700120580001,NESJV-D,8,37.79963889,-120.9786667,SAN JOAQUIN,2/12/2014,186,LAB,na,14.41,8.06,16.06,2.95,7.82,3.08,3.81,74.81,98.63,182.88,24.18,MEASURED,158.7,2/12/2014,0.164,PreMod,na,na,na,ION
380004121160601,NESJV-D,4,38.001194,-121.268361,SAN JOAQUIN,2/1/2005,186,LAB,na,19.24,12.24,16.45,5.25,5.02,7.7,0.77,60.49,142.57,158.5,14.87,MODEL,143.63,2/1/2005,0.441,Mod,na,na,na,ION
375500121000001,NESJV-D,7,37.932,-121.0160556,SAN JOAQUIN,2/15/2005,188,LAB,na,14.78,8.22,12.73,3.57,9.31,7.91,na,78.45,87.07,na,na,na,na,2/15/2005,-0.051,PreMod,na,na,na,ION
374600120480001,NESJV-D,8,37.778111,-120.806083,STANISLAUS,3/23/2006,188,LAB,na,24.76,11.4,7.72,2.94,15.78,4.97,2.88,48.7,100.15,103.02,28.39,MODEL,74.63,3/23/2006,0.579,Mod,na,na,na,ION
372200120270001,NESJV-D,17,37.38205556,-120.4502778,MERCED,4/19/2006,188,CALC,284,na,na,na,na,na,na,na,na,na,109.12,18.85,MODEL,90.26,4/19/2006,0.493,Mod,na,na,na,TDS
